Estadísticas sobre el Suministro y Saneamiento del Agua
Resultados por comunidades y ciudades autónomas
Captación realizada por la propia empresa por comunidades y ciudades  autónomas, tipo de fuente y periodo.
Unidades: miles de metros cúbicos

,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,
Cataluña,
    Total,337839.0,361223.0,374318.0,349767.0,363331.0,333537.0,359880.0,379267.0,469113.0,408721.0,441987.0,459409.0,535523.0,586560.0,592703.0,
    Aguas superficiales,145636.0,139797.0,154852.0,168635.0,168516.0,155717.0,175702.0,175558.0,213547.0,209710.0,305779.0,245772.0,347936.0,388864.0,377725.0,
    Aguas subterráneas,192203.0,221426.0,219466.0,181132.0,194815.0,177820.0,184178.0,202548.0,253653.0,192098.0,136208.0,213637.0,187587.0,197696.0,214978.0,
    Desalación,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1161.0,1913.0,6913.0,0.0,0.0,0.0,0.0,0.0,
Comunitat Valenciana,
    Total,309838.0,311943.0,295133.0,291395.0,432398.0,457767.0,566963.0,511297.0,444084.0,376879.0,422698.0,488781.0,447854.0,445714.0,462956.0,
    Aguas superficiales,48342.0,110051.0,76617.0,15345.0,88598.0,89452.0,102082.0,86929.0,159566.0,157380.0,135494.0,174120.0,256982.0,200258.0,200492.0,
    Aguas subterráneas,257471.0,199430.0,212993.0,275878.0,343725.0,368130.0,454705.0,410129.0,268277.0,200605.0,268077.0,292001.0,186471.0,244213.0,261772.0,
    Desalación,4025.0,2462.0,5523.0,172.0,75.0,185.0,10176.0,14239.0,16241.0,18894.0,19127.0,22660.0,4401.0,1243.0,692.0,
Extremadura,
    Total,91032.0,94318.0,87525.0,85477.0,94241.0,99202.0,142113.0,150332.0,150372.0,159294.0,155002.0,86199.0,101186.0,120736.0,132168.0,
    Aguas superficiales,83507.0,78191.0,80535.0,75062.0,87195.0,97373.0,141059.0,141535.0,140453.0,149820.0,130441.0,65072.0,70718.0,79729.0,118573.0,
    Aguas subterráneas,7525.0,16127.0,6990.0,10415.0,7046.0,1829.0,1054.0,8797.0,9919.0,9474.0,24561.0,21127.0,30468.0,41007.0,13595.0,
    Desalación,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Galicia,
    Total,281447.0,282643.0,282964.0,259478.0,272322.0,267991.0,261077.0,255990.0,250852.0,264953.0,295526.0,307761.0,305066.0,301919.0,299400.0,
    Aguas superficiales,261276.0,252137.0,258293.0,247530.0,267145.0,259922.0,249137.0,239968.0,214073.0,253074.0,264912.0,235155.0,254819.0,272159.0,264733.0,
    Aguas subterráneas,20171.0,30506.0,24671.0,11948.0,5177.0,8069.0,11940.0,16022.0,36779.0,11879.0,30614.0,72606.0,50247.0,29760.0,34667.0,
    Desalación,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Madrid, Comunidad de,
    Total,497023.0,499229.0,529064.0,554955.0,538918.0,558961.0,561008.0,573471.0,636492.0,650420.0,662176.0,670955.0,621029.0,630208.0,605600.0,
    Aguas superficiales,488737.0,483435.0,510832.0,542987.0,519698.0,553374.0,546712.0,554568.0,489790.0,583340.0,622810.0,650312.0,561410.0,622459.0,570341.0,
    Aguas subterráneas,8286.0,15794.0,18232.0,11968.0,19220.0,5587.0,14296.0,18903.0,146702.0,67080.0,39366.0,20643.0,59619.0,7749.0,35259.0,
    Desalación,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Murcia, Región de,
    Total,12675.0,11979.0,10472.0,15532.0,17215.0,17512.0,31953.0,75874.0,35562.0,43133.0,52933.0,62867.0,64329.0,77316.0,43880.0,
    Aguas superficiales,4379.0,3237.0,3015.0,12145.0,14117.0,11861.0,26375.0,69709.0,27967.0,33308.0,39683.0,45165.0,50258.0,56327.0,30594.0,
    Aguas subterráneas,8296.0,8742.0,7457.0,3387.0,3098.0,5651.0,5578.0,6165.0,7595.0,9825.0,12532.0,16974.0,13602.0,20240.0,13286.0,
    Desalación,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,718.0,728.0,469.0,749.0,0.0,
Navarra, Comunidad Foral de,
    Total,53020.0,55524.0,63103.0,76606.0,53376.0,48540.0,68008.0,61458.0,69459.0,73010.0,58992.0,76528.0,70206.0,68029.0,67527.0,
    Aguas superficiales,17313.0,19528.0,20810.0,26706.0,17954.0,25085.0,32225.0,26429.0,26547.0,33523.0,26246.0,37353.0,31189.0,41534.0,40344.0,
    Aguas subterráneas,35707.0,35996.0,42293.0,49900.0,35422.0,23455.0,35783.0,35029.0,42912.0,39487.0,32746.0,39175.0,39017.0,26495.0,27183.0,
    Desalación,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
País Vasco,
    Total,210173.0,221247.0,172632.0,165198.0,187157.0,194880.0,223644.0,206858.0,218272.0,253835.0,285251.0,318494.0,310034.0,329469.0,244038.0,
    Aguas superficiales,206298.0,205079.0,162087.0,154274.0,179838.0,188281.0,217568.0,200943.0,212703.0,233518.0,278541.0,282200.0,255579.0,260715.0,242879.0,
    Aguas subterráneas,3875.0,16168.0,10545.0,10924.0,7319.0,6599.0,6076.0,5915.0,5569.0,20317.0,6710.0,17963.0,26574.0,33083.0,1159.0,
    Desalación,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18331.0,27881.0,35671.0,0.0,
Rioja, La,
    Total,43427.0,57909.0,48748.0,49252.0,49425.0,53475.0,62857.0,36557.0,40379.0,46457.0,40700.0,43887.0,50511.0,44854.0,46820.0,
    Aguas superficiales,26096.0,32389.0,24455.0,30988.0,44207.0,46339.0,56557.0,25768.0,25666.0,26823.0,37957.0,41431.0,48944.0,44647.0,46709.0,
    Aguas subterráneas,17331.0,25520.0,24293.0,18264.0,5218.0,7136.0,6300.0,10789.0,14713.0,19634.0,2743.0,2456.0,1567.0,207.0,111.0,
    Desalación,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Ceuta y Melilla,
    Total,5870.0,5748.0,7203.0,3374.0,14194.0,14425.0,16547.0,19807.0,20077.0,12106.0,18530.0,20947.0,16973.0,17932.0,17823.0,
    Aguas superficiales,372.0,169.0,169.0,295.0,1772.0,2320.0,2509.0,1182.0,1321.0,990.0,732.0,2965.0,1543.0,2951.0,1122.0,
    Aguas subterráneas,5498.0,5579.0,7034.0,3079.0,5485.0,4923.0,6078.0,10655.0,10748.0,11116.0,10099.0,12326.0,10980.0,9934.0,11549.0,
    Desalación,0.0,0.0,0.0,0.0,6937.0,7182.0,7960.0,7970.0,8008.0,0.0,7699.0,5656.0,4450.0,5047.0,5152.0,
Notas:
Fuente: Instituto Nacional de Estadística
